	 DWIA + Delta + pion modifications 
   165.00  0.7316E-03  0.2744E-03  0.2393E-05  -.2675E-04   11.1663
   170.00  0.6882E-03  0.2864E-03  0.2030E-05  -.1440E-04   11.2728
   175.00  0.6614E-03  0.2986E-03  0.6637E-06  -.6097E-05   11.3371


 EGEQ(LAB)= 375.00   EG*(LAB)= 380.33 MEV   QI=371.36 MEV   QF=305.96 MEV
 W3He(MEV)=3167.690   EG*(CM)= 328.490   EPI(CM)= 336.301   Q2GEV=   0.030
    angle   ds/dO(T)    ds/dO(L)     ds/dO(TT)   ds/dO(LT)   Q2(fm-2)
     0.00  0.1158E+02  0.5751E+01  -.8457E-08  0.1054E-03    0.1098
     5.00  0.1089E+02  0.5697E+01  -.5839E+00  0.7276E+00    0.1320
    10.00  0.9373E+01  0.5295E+01  -.1783E+01  0.6686E+00    0.1985
    15.00  0.7866E+01  0.4350E+01  -.2729E+01  0.7304E-01    0.3087
    20.00  0.6661E+01  0.3120E+01  -.3116E+01  -.4458E+00    0.4618
    25.00  0.5636E+01  0.1979E+01  -.3057E+01  -.6386E+00    0.6566
    30.00  0.4672E+01  0.1132E+01  -.2753E+01  -.5806E+00    0.8917
    35.00  0.3742E+01  0.5943E+00  -.2338E+01  -.4218E+00    1.1652
    40.00  0.2883E+01  0.2927E+00  -.1896E+01  -.2629E+00    1.4752
    45.00  0.2137E+01  0.1405E+00  -.1475E+01  -.1441E+00    1.8191
    50.00  0.1518E+01  0.7007E-01  -.1096E+01  -.6858E-01    2.1945
    55.00  0.1043E+01  0.4062E-01  -.7851E+00  -.2706E-01    2.5984
    60.00  0.7001E+00  0.2886E-01  -.5480E+00  -.7259E-02    3.0277
    65.00  0.4542E+00  0.2305E-01  -.3680E+00  0.8492E-03    3.4793
    70.00  0.2886E+00  0.1909E-01  -.2409E+00  0.3026E-02    3.9497
    75.00  0.1802E+00  0.1550E-01  -.1541E+00  0.2760E-02    4.4352
    80.00  0.1112E+00  0.1211E-01  -.9686E-01  0.1753E-02    4.9323
    85.00  0.6784E-01  0.9051E-02  -.5968E-01  0.7577E-03    5.4370
    90.00  0.4109E-01  0.6502E-02  -.3613E-01  0.1576E-04    5.9456
    95.00  0.2512E-01  0.4537E-02  -.2175E-01  -.4522E-03    6.4543
   100.00  0.1552E-01  0.3080E-02  -.1295E-01  -.6903E-03    6.9590
   105.00  0.9730E-02  0.2040E-02  -.7595E-02  -.7659E-03    7.4561
   110.00  0.6256E-02  0.1331E-02  -.4399E-02  -.7402E-03    7.9416
   115.00  0.4151E-02  0.8684E-03  -.2508E-02  -.6557E-03    8.4120
   120.00  0.2923E-02  0.5912E-03  -.1436E-02  -.5516E-03    8.8636
   125.00  0.2137E-02  0.4269E-03  -.8033E-03  -.4383E-03    9.2929
   130.00  0.1614E-02  0.3358E-03  -.4333E-03  -.3303E-03    9.6968
   135.00  0.1275E-02  0.2951E-03  -.2277E-03  -.2405E-03   10.0722
   140.00  0.1036E-02  0.2847E-03  -.1132E-03  -.1682E-03   10.4161
   145.00  0.8643E-03  0.2908E-03  -.5223E-04  -.1127E-03   10.7261
   150.00  0.7377E-03  0.3011E-03  -.2046E-04  -.7204E-04   10.9996
   155.00  0.6503E-03  0.3091E-03  -.5112E-05  -.4356E-04   11.2347
   160.00  0.5806E-03  0.3157E-03  0.1661E-05  -.2354E-04   11.4295
   165.00  0.5282E-03  0.3253E-03  0.3328E-05  -.1081E-04   11.5826
   170.00  0.4970E-03  0.3390E-03  0.2323E-05  -.4055E-05   11.6928
   175.00  0.4775E-03  0.3526E-03  0.7222E-06  -.1022E-05   11.7593


 EGEQ(LAB)= 375.00   EG*(LAB)= 382.11 MEV   QI=383.24 MEV   QF=305.96 MEV
 W3He(MEV)=3167.690   EG*(CM)= 326.911   EPI(CM)= 336.301   Q2GEV=   0.040
    angle   ds/dO(T)    ds/dO(L)     ds/dO(TT)   ds/dO(LT)   Q2(fm-2)
     0.00  0.1061E+02  0.7284E+01  -.6922E-08  0.5984E-04    0.1534
     5.00  0.1003E+02  0.7058E+01  -.4804E+00  0.3856E+00    0.1763
    10.00  0.8748E+01  0.6285E+01  -.1490E+01  0.2216E+00    0.2449
    15.00  0.7422E+01  0.4979E+01  -.2332E+01  -.2831E+00    0.3586
    20.00  0.6284E+01  0.3472E+01  -.2713E+01  -.6627E+00    0.5166
    25.00  0.5291E+01  0.2161E+01  -.2708E+01  -.7485E+00    0.7176
    30.00  0.4352E+01  0.1220E+01  -.2467E+01  -.6282E+00    0.9602
    35.00  0.3461E+01  0.6353E+00  -.2113E+01  -.4394E+00    1.2425
    40.00  0.2649E+01  0.3126E+00  -.1720E+01  -.2687E+00    1.5624
    45.00  0.1942E+01  0.1505E+00  -.1332E+01  -.1456E+00    1.9173
    50.00  0.1369E+01  0.7706E-01  -.9868E+00  -.6972E-01    2.3047
    55.00  0.9354E+00  0.4646E-01  -.7053E+00  -.2867E-01    2.7215
    60.00  0.6193E+00  0.3348E-01  -.4861E+00  -.8807E-02    3.1646
    65.00  0.3960E+00  0.2667E-01  -.3220E+00  -.5777E-03    3.6307
    70.00  0.2506E+00  0.2196E-01  -.2101E+00  0.1778E-02    4.1161
    75.00  0.1549E+00  0.1755E-01  -.1331E+00  0.1822E-02    4.6172
    80.00  0.9411E-01  0.1344E-01  -.8248E-01  0.1118E-02    5.1301
    85.00  0.5628E-01  0.9843E-02  -.4993E-01  0.3673E-03    5.6510
    90.00  0.3364E-01  0.6951E-02  -.2989E-01  -.2038E-03    6.1759
    95.00  0.2029E-01  0.4762E-02  -.1778E-01  -.5533E-03    6.7008
   100.00  0.1232E-01  0.3169E-02  -.1043E-01  -.7133E-03    7.2217
   105.00  0.7628E-02  0.2061E-02  -.6046E-02  -.7437E-03    7.7346
   110.00  0.4861E-02  0.1322E-02  -.3468E-02  -.6930E-03    8.2357
   115.00  0.3229E-02  0.8556E-03  -.1974E-02  -.5997E-03    8.7211
   120.00  0.2240E-02  0.5758E-03  -.1108E-02  -.4874E-03    9.1872
   125.00  0.1614E-02  0.4172E-03  -.6057E-03  -.3726E-03    9.6303
   130.00  0.1232E-02  0.3397E-03  -.3275E-03  -.2733E-03   10.0471
   135.00  0.9682E-03  0.3083E-03  -.1689E-03  -.1893E-03   10.4345
   140.00  0.7810E-03  0.3061E-03  -.8228E-04  -.1232E-03   10.7894
   145.00  0.6510E-03  0.3187E-03  -.3687E-04  -.7562E-04   11.1093
   150.00  0.5529E-03  0.3335E-03  -.1349E-04  -.4160E-04   11.3916
   155.00  0.4787E-03  0.3447E-03  -.2139E-05  -.1856E-04   11.6342
   160.00  0.4287E-03  0.3533E-03  0.2482E-05  -.4845E-05   11.8352
   165.00  0.3894E-03  0.3640E-03  0.3367E-05  0.2481E-05   11.9932
   170.00  0.3605E-03  0.3785E-03  0.2233E-05  0.4712E-05   12.1069
   175.00  0.3424E-03  0.3925E-03  0.6824E-06  0.3317E-05   12.1755


 EGEQ(LAB)= 375.00   EG*(LAB)= 383.88 MEV   QI=394.77 MEV   QF=305.96 MEV
 W3He(MEV)=3167.690   EG*(CM)= 325.333   EPI(CM)= 336.301   Q2GEV=   0.050
    angle   ds/dO(T)    ds/dO(L)     ds/dO(TT)   ds/dO(LT)   Q2(fm-2)
     0.00  0.9647E+01  0.8315E+01  -.5631E-08  0.2181E-04    0.2026
     5.00  0.9184E+01  0.7964E+01  -.3936E+00  0.1020E+00    0.2262
    10.00  0.8105E+01  0.6906E+01  -.1241E+01  -.1425E+00    0.2968
    15.00  0.6936E+01  0.5332E+01  -.1983E+01  -.5605E+00    0.4139
    20.00  0.5887E+01  0.3652E+01  -.2356E+01  -.8180E+00    0.5767
    25.00  0.4938E+01  0.2245E+01  -.2393E+01  -.8160E+00    0.7838
    30.00  0.4038E+01  0.1255E+01  -.2207E+01  -.6494E+00    1.0337
    35.00  0.3192E+01  0.6504E+00  -.1905E+01  -.4424E+00    1.3245
    40.00  0.2422E+01  0.3190E+00  -.1553E+01  -.2664E+00    1.6539
    45.00  0.1763E+01  0.1547E+00  -.1201E+01  -.1438E+00    2.0196
    50.00  0.1234E+01  0.8063E-01  -.8869E+00  -.6957E-01    2.4186
    55.00  0.8348E+00  0.4948E-01  -.6290E+00  -.2953E-01    2.8480
    60.00  0.5474E+00  0.3600E-01  -.4299E+00  -.1016E-01    3.3044
    65.00  0.3487E+00  0.2874E-01  -.2838E+00  -.2022E-02    3.7845
    70.00  0.2173E+00  0.2330E-01  -.1824E+00  0.6503E-03    4.2845
    75.00  0.1321E+00  0.1832E-01  -.1139E+00  0.1029E-02    4.8006
    80.00  0.7921E-01  0.1384E-01  -.6969E-01  0.6108E-03    5.3290
    85.00  0.4685E-01  0.1001E-01  -.4178E-01  0.7814E-04    5.8656
    90.00  0.2777E-01  0.6984E-02  -.2485E-01  -.3406E-03    6.4063
    95.00  0.1651E-01  0.4713E-02  -.1460E-01  -.5871E-03    6.9470
   100.00  0.9865E-02  0.3084E-02  -.8442E-02  -.6850E-03    7.4835
   105.00  0.6008E-02  0.1969E-02  -.4822E-02  -.6806E-03    8.0119
   110.00  0.3772E-02  0.1239E-02  -.2725E-02  -.6138E-03    8.5281
   115.00  0.2475E-02  0.7907E-03  -.1530E-02  -.5161E-03    9.0281
   120.00  0.1714E-02  0.5335E-03  -.8540E-03  -.4093E-03    9.5081
   125.00  0.1246E-02  0.3964E-03  -.4695E-03  -.3057E-03    9.9646
   130.00  0.9403E-03  0.3312E-03  -.2498E-03  -.2131E-03   10.3939
   135.00  0.7354E-03  0.3111E-03  -.1282E-03  -.1379E-03   10.7930
   140.00  0.5958E-03  0.3173E-03  -.6253E-04  -.8203E-04   11.1586
   145.00  0.4886E-03  0.3348E-03  -.2735E-04  -.4103E-04   11.4881
   150.00  0.4137E-03  0.3530E-03  -.9693E-05  -.1435E-04   11.7788
   155.00  0.3563E-03  0.3663E-03  -.1090E-05  0.2414E-05   12.0287
   160.00  0.3106E-03  0.3765E-03  0.2462E-05  0.1157E-04   12.2359
   165.00  0.2812E-03  0.3875E-03  0.3001E-05  0.1394E-04   12.3986
   170.00  0.2598E-03  0.4016E-03  0.1951E-05  0.1189E-04   12.5157
   175.00  0.2463E-03  0.4148E-03  0.5932E-06  0.6758E-05   12.5864


 EGEQ(LAB)= 375.00   EG*(LAB)= 385.66 MEV   QI=405.98 MEV   QF=305.96 MEV
 W3He(MEV)=3167.690   EG*(CM)= 323.754   EPI(CM)= 336.301   Q2GEV=   0.060
    angle   ds/dO(T)    ds/dO(L)     ds/dO(TT)   ds/dO(LT)   Q2(fm-2)
     0.00  0.8771E+01  0.8900E+01  -.4602E-08  -.6990E-05    0.2569
     5.00  0.8383E+01  0.8450E+01  -.3234E+00  -.1123E+00    0.2812
    10.00  0.7487E+01  0.7216E+01  -.1038E+01  -.4139E+00    0.3538
    15.00  0.6452E+01  0.5471E+01  -.1690E+01  -.7582E+00    0.4743
    20.00  0.5484E+01  0.3698E+01  -.2048E+01  -.9173E+00    0.6417
    25.00  0.4586E+01  0.2250E+01  -.2114E+01  -.8483E+00    0.8547
    30.00  0.3732E+01  0.1251E+01  -.1973E+01  -.6510E+00    1.1116
    35.00  0.2929E+01  0.6447E+00  -.1711E+01  -.4343E+00    1.4107
    40.00  0.2211E+01  0.3167E+00  -.1399E+01  -.2594E+00    1.7495
    45.00  0.1598E+01  0.1544E+00  -.1081E+01  -.1399E+00    2.1255
    50.00  0.1106E+01  0.8116E-01  -.7917E+00  -.6818E-01    2.5359
    55.00  0.7460E+00  0.5081E-01  -.5609E+00  -.3010E-01    2.9774
    60.00  0.4840E+00  0.3704E-01  -.3796E+00  -.1131E-01    3.4468
    65.00  0.3050E+00  0.2937E-01  -.2481E+00  -.3200E-02    3.9405
    70.00  0.1878E+00  0.2353E-01  -.1577E+00  -.2994E-03    4.4547
    75.00  0.1135E+00  0.1836E-01  -.9788E-01  0.3431E-03    4.9855
    80.00  0.6716E-01  0.1369E-01  -.5915E-01  0.1947E-03    5.5289
    85.00  0.3922E-01  0.9769E-02  -.3505E-01  -.1361E-03    6.0807
    90.00  0.2292E-01  0.6722E-02  -.2059E-01  -.4161E-03    6.6368
    95.00  0.1337E-01  0.4463E-02  -.1190E-01  -.5755E-03    7.1928
   100.00  0.7872E-02  0.2875E-02  -.6795E-02  -.6272E-03    7.7446
   105.00  0.4733E-02  0.1806E-02  -.3837E-02  -.6015E-03    8.2880
   110.00  0.2963E-02  0.1126E-02  -.2162E-02  -.5314E-03    8.8188
   115.00  0.1939E-02  0.7140E-03  -.1209E-02  -.4374E-03    9.3330
   120.00  0.1333E-02  0.4821E-03  -.6688E-03  -.3365E-03    9.8267
   125.00  0.9587E-03  0.3638E-03  -.3636E-03  -.2405E-03   10.2961
   130.00  0.7278E-03  0.3159E-03  -.1954E-03  -.1598E-03   10.7377
   135.00  0.5705E-03  0.3066E-03  -.1010E-03  -.9546E-04   11.1480
   140.00  0.4542E-03  0.3188E-03  -.4896E-04  -.4660E-04   11.5240
   145.00  0.3741E-03  0.3402E-03  -.2180E-04  -.1425E-04   11.8628
   150.00  0.3097E-03  0.3603E-03  -.7689E-05  0.7197E-05   12.1619
   155.00  0.2638E-03  0.3748E-03  -.8570E-06  0.1867E-04   12.4189
   160.00  0.2298E-03  0.3852E-03  0.1999E-05  0.2302E-04   12.6319
   165.00  0.2032E-03  0.3963E-03  0.2462E-05  0.2211E-04   12.7992
   170.00  0.1835E-03  0.4097E-03  0.1606E-05  0.1712E-04   12.9197
   175.00  0.1722E-03  0.4219E-03  0.4900E-06  0.9265E-05   12.9924


 EGEQ(LAB)= 375.00   EG*(LAB)= 387.43 MEV   QI=416.89 MEV   QF=305.96 MEV
 W3He(MEV)=3167.690   EG*(CM)= 322.176   EPI(CM)= 336.301   Q2GEV=   0.070
    angle   ds/dO(T)    ds/dO(L)     ds/dO(TT)   ds/dO(LT)   Q2(fm-2)
     0.00  0.7944E+01  0.9069E+01  -.3774E-08  -.2722E-04    0.3160
     5.00  0.7636E+01  0.8583E+01  -.2671E+00  -.2622E+00    0.3410
    10.00  0.6868E+01  0.7234E+01  -.8685E+00  -.5979E+00    0.4156
    15.00  0.5963E+01  0.5425E+01  -.1442E+01  -.8828E+00    0.5393
    20.00  0.5079E+01  0.3634E+01  -.1781E+01  -.9679E+00    0.7111
    25.00  0.4238E+01  0.2198E+01  -.1866E+01  -.8525E+00    0.9298
    30.00  0.3433E+01  0.1216E+01  -.1759E+01  -.6372E+00    1.1938
    35.00  0.2684E+01  0.6267E+00  -.1537E+01  -.4199E+00    1.5008
    40.00  0.2013E+01  0.3078E+00  -.1258E+01  -.2491E+00    1.8488
    45.00  0.1440E+01  0.1503E+00  -.9660E+00  -.1341E+00    2.2349
    50.00  0.9957E+00  0.8047E-01  -.7090E+00  -.6659E-01    2.6563
    55.00  0.6651E+00  0.5063E-01  -.4983E+00  -.3020E-01    3.1097
    60.00  0.4251E+00  0.3668E-01  -.3325E+00  -.1203E-01    3.5917
    65.00  0.2673E+00  0.2910E-01  -.2170E+00  -.4168E-02    4.0987
    70.00  0.1632E+00  0.2311E-01  -.1368E+00  -.1095E-02    4.6267
    75.00  0.9719E-01  0.1777E-01  -.8368E-01  -.1802E-03    5.1718
    80.00  0.5638E-01  0.1304E-01  -.4964E-01  -.9366E-04    5.7298
    85.00  0.3265E-01  0.9225E-02  -.2921E-01  -.2687E-03    6.2964
    90.00  0.1890E-01  0.6283E-02  -.1702E-01  -.4428E-03    6.8674
    95.00  0.1088E-01  0.4117E-02  -.9726E-02  -.5379E-03    7.4384
   100.00  0.6314E-02  0.2612E-02  -.5485E-02  -.5561E-03    8.0050
   105.00  0.3750E-02  0.1615E-02  -.3065E-02  -.5175E-03    8.5630
   110.00  0.2320E-02  0.9901E-03  -.1710E-02  -.4457E-03    9.1081
   115.00  0.1501E-02  0.6194E-03  -.9463E-03  -.3563E-03    9.6361
   120.00  0.1035E-02  0.4229E-03  -.5261E-03  -.2670E-03   10.1431
   125.00  0.7525E-03  0.3298E-03  -.2908E-03  -.1841E-03   10.6251
   130.00  0.5679E-03  0.2954E-03  -.1568E-03  -.1136E-03   11.0785
   135.00  0.4410E-03  0.2949E-03  -.8197E-04  -.5789E-04   11.4999
   140.00  0.3532E-03  0.3126E-03  -.4097E-04  -.1859E-04   11.8860
   145.00  0.2829E-03  0.3361E-03  -.1865E-04  0.8724E-05   12.2340
   150.00  0.2343E-03  0.3571E-03  -.7044E-05  0.2381E-04   12.5411
   155.00  0.1952E-03  0.3720E-03  -.1230E-05  0.3120E-04   12.8050
   160.00  0.1658E-03  0.3827E-03  0.1278E-05  0.3220E-04   13.0237
   165.00  0.1459E-03  0.3928E-03  0.1813E-05  0.2811E-04   13.1955
   170.00  0.1311E-03  0.4048E-03  0.1222E-05  0.2069E-04   13.3192
   175.00  0.1218E-03  0.4156E-03  0.3763E-06  0.1095E-04   13.3938


 EGEQ(LAB)= 375.00   EG*(LAB)= 389.21 MEV   QI=427.53 MEV   QF=305.96 MEV
 W3He(MEV)=3167.690   EG*(CM)= 320.598   EPI(CM)= 336.301   Q2GEV=   0.080
    angle   ds/dO(T)    ds/dO(L)     ds/dO(TT)   ds/dO(LT)   Q2(fm-2)
     0.00  0.7191E+01  0.8939E+01  -.3120E-08  -.4037E-04    0.3796
     5.00  0.6928E+01  0.8422E+01  -.2217E+00  -.3581E+00    0.4051
    10.00  0.6284E+01  0.7055E+01  -.7315E+00  -.7110E+00    0.4816
    15.00  0.5486E+01  0.5247E+01  -.1235E+01  -.9485E+00    0.6085
    20.00  0.4682E+01  0.3495E+01  -.1552E+01  -.9807E+00    0.7848
    25.00  0.3899E+01  0.2104E+01  -.1647E+01  -.8355E+00    1.0091
    30.00  0.3152E+01  0.1163E+01  -.1570E+01  -.6141E+00    1.2797
    35.00  0.2453E+01  0.5993E+00  -.1378E+01  -.4009E+00    1.5946
    40.00  0.1823E+01  0.2935E+00  -.1124E+01  -.2362E+00    1.9514
    45.00  0.1302E+01  0.1450E+00  -.8658E+00  -.1282E+00    2.3474
    50.00  0.8941E+00  0.7832E-01  -.6329E+00  -.6444E-01    2.7795
    55.00  0.5897E+00  0.4918E-01  -.4398E+00  -.2980E-01    3.2445
    60.00  0.3767E+00  0.3591E-01  -.2935E+00  -.1269E-01    3.7389
    65.00  0.2341E+00  0.2816E-01  -.1893E+00  -.4902E-02    4.2588
    70.00  0.1408E+00  0.2206E-01  -.1176E+00  -.1668E-02    4.8003
    75.00  0.8303E-01  0.1680E-01  -.7129E-01  -.5704E-03    5.3593
    80.00  0.4794E-01  0.1226E-01  -.4212E-01  -.3224E-03    5.9315
    85.00  0.2750E-01  0.8581E-02  -.2457E-01  -.3634E-03    6.5126
    90.00  0.1563E-01  0.5760E-02  -.1408E-01  -.4450E-03    7.0982
    95.00  0.8850E-02  0.3720E-02  -.7936E-02  -.4895E-03    7.6837
   100.00  0.5061E-02  0.2323E-02  -.4419E-02  -.4836E-03    8.2648
   105.00  0.2986E-02  0.1417E-02  -.2457E-02  -.4398E-03    8.8371
   110.00  0.1837E-02  0.8577E-03  -.1364E-02  -.3710E-03    9.3961
   115.00  0.1192E-02  0.5356E-03  -.7583E-03  -.2909E-03    9.9376
   120.00  0.8194E-03  0.3678E-03  -.4218E-03  -.2106E-03   10.4575
   125.00  0.5915E-03  0.2931E-03  -.2339E-03  -.1366E-03   10.9518
   130.00  0.4488E-03  0.2726E-03  -.1290E-03  -.7676E-04   11.4168
   135.00  0.3493E-03  0.2798E-03  -.6917E-04  -.3036E-04   11.8489
   140.00  0.2731E-03  0.3003E-03  -.3540E-04  0.3494E-05   12.2449
   145.00  0.2197E-03  0.3248E-03  -.1687E-04  0.2385E-04   12.6017
   150.00  0.1757E-03  0.3459E-03  -.6944E-05  0.3559E-04   12.9166
   155.00  0.1451E-03  0.3603E-03  -.1772E-05  0.3916E-04   13.1873
   160.00  0.1215E-03  0.3703E-03  0.5860E-06  0.3741E-04   13.4116
   165.00  0.1032E-03  0.3798E-03  0.1212E-05  0.3165E-04   13.5878
   170.00  0.9018E-04  0.3904E-03  0.8735E-06  0.2280E-04   13.7147
   175.00  0.8309E-04  0.3995E-03  0.2776E-06  0.1188E-04   13.7912


 EGEQ(LAB)= 375.00   EG*(LAB)= 390.99 MEV   QI=437.92 MEV   QF=305.96 MEV
 W3He(MEV)=3167.690   EG*(CM)= 319.019   EPI(CM)= 336.301   Q2GEV=   0.090
    angle   ds/dO(T)    ds/dO(L)     ds/dO(TT)   ds/dO(LT)   Q2(fm-2)
     0.00  0.6488E+01  0.8568E+01  -.2594E-08  -.4794E-04    0.4472
     5.00  0.6274E+01  0.8066E+01  -.1854E+00  -.4123E+00    0.4734
    10.00  0.5722E+01  0.6719E+01  -.6187E+00  -.7672E+00    0.5518
    15.00  0.5026E+01  0.4978E+01  -.1062E+01  -.9688E+00    0.6817
    20.00  0.4299E+01  0.3303E+01  -.1355E+01  -.9652E+00    0.8622
    25.00  0.3579E+01  0.1986E+01  -.1457E+01  -.8047E+00    1.0920
    30.00  0.2883E+01  0.1096E+01  -.1399E+01  -.5837E+00    1.3692
    35.00  0.2231E+01  0.5641E+00  -.1231E+01  -.3781E+00    1.6918
    40.00  0.1655E+01  0.2781E+00  -.1008E+01  -.2232E+00    2.0573
    45.00  0.1172E+01  0.1379E+00  -.7728E+00  -.1214E+00    2.4629
    50.00  0.7994E+00  0.7487E-01  -.5621E+00  -.6171E-01    2.9055
    55.00  0.5254E+00  0.4745E-01  -.3897E+00  -.2937E-01    3.3818
    60.00  0.3325E+00  0.3444E-01  -.2578E+00  -.1302E-01    3.8881
    65.00  0.2037E+00  0.2666E-01  -.1640E+00  -.5358E-02    4.4207
    70.00  0.1222E+00  0.2080E-01  -.1017E+00  -.2115E-02    4.9753
    75.00  0.7115E-01  0.1566E-01  -.6086E-01  -.8584E-03    5.5479
    80.00  0.4055E-01  0.1129E-01  -.3551E-01  -.4678E-03    6.1340
    85.00  0.2291E-01  0.7801E-02  -.2044E-01  -.4026E-03    6.7293
    90.00  0.1281E-01  0.5169E-02  -.1155E-01  -.4194E-03    7.3290
    95.00  0.7174E-02  0.3299E-02  -.6445E-02  -.4309E-03    7.9288
   100.00  0.4057E-02  0.2030E-02  -.3557E-02  -.4111E-03    8.5241
   105.00  0.2372E-02  0.1219E-02  -.1965E-02  -.3654E-03    9.1102
   110.00  0.1446E-02  0.7240E-03  -.1084E-02  -.3008E-03    9.6828
   115.00  0.9341E-03  0.4475E-03  -.6030E-03  -.2290E-03   10.2374
   120.00  0.6487E-03  0.3133E-03  -.3417E-03  -.1602E-03   10.7700
   125.00  0.4739E-03  0.2590E-03  -.1941E-03  -.9841E-04   11.2763
   130.00  0.3576E-03  0.2484E-03  -.1092E-03  -.4667E-04   11.7526
   135.00  0.2750E-03  0.2608E-03  -.6022E-04  -.7150E-05   12.1952
   140.00  0.2158E-03  0.2837E-03  -.3211E-04  0.1930E-04   12.6008
   145.00  0.1680E-03  0.3083E-03  -.1619E-04  0.3617E-04   12.9663
   150.00  0.1343E-03  0.3283E-03  -.7212E-05  0.4338E-04   13.2889
   155.00  0.1071E-03  0.3422E-03  -.2457E-05  0.4467E-04   13.5661
   160.00  0.8724E-04  0.3515E-03  -.1330E-06  0.4096E-04   13.7959
   165.00  0.7325E-04  0.3596E-03  0.6735E-06  0.3359E-04   13.9764
   170.00  0.6301E-04  0.3685E-03  0.5749E-06  0.2380E-04   14.1063
   175.00  0.5662E-04  0.3763E-03  0.1898E-06  0.1233E-04   14.1847


 EGEQ(LAB)= 375.00   EG*(LAB)= 392.76 MEV   QI=448.07 MEV   QF=305.96 MEV
 W3He(MEV)=3167.690   EG*(CM)= 317.441   EPI(CM)= 336.301   Q2GEV=   0.100
    angle   ds/dO(T)    ds/dO(L)     ds/dO(TT)   ds/dO(LT)   Q2(fm-2)
     0.00  0.5847E+01  0.8057E+01  -.2175E-08  -.5148E-04    0.5187
     5.00  0.5665E+01  0.7570E+01  -.1560E+00  -.4355E+00    0.5455
    10.00  0.5198E+01  0.6294E+01  -.5264E+00  -.7832E+00    0.6256
    15.00  0.4587E+01  0.4649E+01  -.9167E+00  -.9560E+00    0.7586
    20.00  0.3931E+01  0.3079E+01  -.1185E+01  -.9293E+00    0.9433
    25.00  0.3272E+01  0.1850E+01  -.1288E+01  -.7631E+00    1.1784
    30.00  0.2628E+01  0.1021E+01  -.1245E+01  -.5486E+00    1.4620
    35.00  0.2031E+01  0.5275E+00  -.1102E+01  -.3548E+00    1.7921
    40.00  0.1496E+01  0.2601E+00  -.9000E+00  -.2091E+00    2.1660
    45.00  0.1052E+01  0.1294E+00  -.6872E+00  -.1142E+00    2.5810
    50.00  0.7172E+00  0.7126E-01  -.5007E+00  -.5904E-01    3.0339
    55.00  0.4652E+00  0.4491E-01  -.3429E+00  -.2847E-01    3.5213
    60.00  0.2925E+00  0.3251E-01  -.2256E+00  -.1305E-01    4.0394
    65.00  0.1787E+00  0.2509E-01  -.1432E+00  -.5705E-02    4.5842
    70.00  0.1057E+00  0.1931E-01  -.8751E-01  -.2397E-02    5.1518
    75.00  0.6040E-01  0.1433E-01  -.5144E-01  -.1024E-02    5.7376
    80.00  0.3431E-01  0.1027E-01  -.2993E-01  -.5556E-03    6.3373
    85.00  0.1926E-01  0.7051E-02  -.1712E-01  -.4223E-03    6.9464
    90.00  0.1064E-01  0.4620E-02  -.9566E-02  -.3916E-03    7.5601
    95.00  0.5856E-02  0.2904E-02  -.5263E-02  -.3765E-03    8.1738
   100.00  0.3280E-02  0.1762E-02  -.2883E-02  -.3483E-03    8.7828
   105.00  0.1900E-02  0.1040E-02  -.1582E-02  -.3028E-03    9.3825
   110.00  0.1159E-02  0.6106E-03  -.8759E-03  -.2449E-03    9.9684
   115.00  0.7538E-03  0.3770E-03  -.4919E-03  -.1832E-03   10.5359
   120.00  0.5230E-03  0.2663E-03  -.2821E-03  -.1214E-03   11.0808
   125.00  0.3808E-03  0.2262E-03  -.1631E-03  -.6722E-04   11.5988
   130.00  0.2887E-03  0.2249E-03  -.9464E-04  -.2409E-04   12.0862
   135.00  0.2219E-03  0.2413E-03  -.5399E-04  0.8434E-05   12.5391
   140.00  0.1700E-03  0.2649E-03  -.3001E-04  0.3090E-04   12.9541
   145.00  0.1324E-03  0.2885E-03  -.1577E-04  0.4287E-04   13.3280
   150.00  0.1017E-03  0.3076E-03  -.7698E-05  0.4810E-04   13.6581
   155.00  0.8003E-04  0.3200E-03  -.3066E-05  0.4704E-04   13.9417
   160.00  0.6337E-04  0.3282E-03  -.7213E-06  0.4204E-04   14.1768
   165.00  0.5067E-04  0.3354E-03  0.1984E-06  0.3410E-04   14.3615
   170.00  0.4198E-04  0.3428E-03  0.3138E-06  0.2392E-04   14.4945
   175.00  0.3702E-04  0.3492E-03  0.1175E-06  0.1230E-04   14.5747


 EGEQ(LAB)= 375.00   EG*(LAB)= 394.54 MEV   QI=458.01 MEV   QF=305.96 MEV
 W3He(MEV)=3167.690   EG*(CM)= 315.862   EPI(CM)= 336.301   Q2GEV=   0.110
    angle   ds/dO(T)    ds/dO(L)     ds/dO(TT)   ds/dO(LT)   Q2(fm-2)
     0.00  0.5261E+01  0.7456E+01  -.1835E-08  -.5217E-04    0.5937
     5.00  0.5110E+01  0.7004E+01  -.1321E+00  -.4375E+00    0.6211
    10.00  0.4710E+01  0.5814E+01  -.4504E+00  -.7705E+00    0.7031
    15.00  0.4176E+01  0.4290E+01  -.7941E+00  -.9208E+00    0.8390
    20.00  0.3586E+01  0.2839E+01  -.1039E+01  -.8807E+00    1.0278
    25.00  0.2986E+01  0.1708E+01  -.1141E+01  -.7164E+00    1.2681
